1,-0.00420495
1.022,-0.204822
1.044,-0.206657
1.066,-0.208509
1.088,-0.210319
1.11,-0.210357
1.132,-0.213855
1.154,-0.205165
1.176,-0.216685
1.198,-0.215904
1.22,-0.211409
1.242,-0.163759
1.264,-0.189355
1.286,-0.203175
1.308,-0.0800785
1.33,-0.187518
1.352,0.636227
1.374,-0.0222549
1.396,-0.13298
1.418,-0.0296569
1.44,0.19972
1.462,-0.229567
1.484,-0.0426319
1.506,-0.0370513
1.528,-0.16664
1.55,-0.139571
1.572,-0.214591
1.594,-0.130249
1.616,0.0542248
1.638,1.06082
1.66,-0.180865
1.682,-0.158876
1.704,-0.230416
1.726,-0.109879
1.748,-0.233417
1.77,-0.188772
1.792,-0.158061
1.814,-0.162899
1.836,-0.172741
1.858,6.6764
1.88,-0.0566393
1.902,-0.052899
1.924,0.789755
1.946,0.439269
1.968,-0.12465
1.99,0.12417
2.012,9.67019
2.034,0.0987624
2.056,-0.012088
2.078,0.0579584
2.1,-0.0649736
2.122,0.0459111
2.144,0.750737
2.166,0.159819
2.188,0.399067
2.21,1.6078
2.232,0.083208
2.254,0.341633
2.276,0.0624491
2.298,2.8045
2.32,0.421085
2.342,0.284771
2.364,1.85019
2.386,5.88401
2.408,2.17276
2.43,4.52147
2.452,2.7452
2.474,0.198087
2.496,6.46264
2.518,5.3007
2.54,7.75702
2.562,18.2404
2.584,1.15993
2.606,15.2636
2.628,4.90926
2.65,12.5324
2.672,3.61176
2.694,5.02188
2.716,5.10908
2.738,15.8816
2.76,22.7295
2.782,40.9105
2.804,12.043
2.826,20.1012
2.848,108.724
2.87,27.0483
2.892,46.2509
2.914,23.4048
2.936,65.0371
2.958,57.5929
2.98,78.4708
3.002,111.209
3.024,294.415
3.046,233.558
3.068,110.072
3.09,1308.43
3.112,261.496
3.134,473.597
3.156,305.458
3.178,185.928
